CITY,TEAM,NICKNAME
Cleveland,Cavaliers,Cavs
Boston,Celtics,Celts
Toronto,Raptors,Raps
Washington,Wizards,
Atlanta,Hawks,
Milwaukee,Bucks,
Indiana,Pacers,
Chicago,Bulls,
Miami,Heat,
Detroit,Pistons,
Charlotte,Hornets,
New York,Knicks,
Orlando,Magic,
Philadelphia,76ers,
Brooklyn,Nets,
